GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rooms-api,rooms.model,ReservationStatus,0,15,0,0,0,3,0,1,0,1
rooms-api,rooms.model,Room,0,36,0,0,0,12,0,8,0,8
rooms-api,rooms.model,Reservation,0,66,0,0,0,21,0,14,0,14
rooms-api,rooms.exception,RoomNotFoundException,0,5,0,0,0,2,0,1,0,1
rooms-api,rooms.exception,AlreadyCancelledException,0,5,0,0,0,2,0,1,0,1
rooms-api,rooms.exception,TimeSlotConflictException,0,4,0,0,0,2,0,1,0,1
rooms-api,rooms.exception,ReservationNotFoundException,0,5,0,0,0,2,0,1,0,1
rooms-api,rooms.exception,InvalidTimeSlotException,0,4,0,0,0,2,0,1,0,1
rooms-api,rooms,RoomsApplication,5,3,0,0,2,1,1,1,1,1
rooms-api,rooms.controller,GlobalExceptionHandler,5,27,0,0,1,6,1,6,1,6
rooms-api,rooms.controller,ReservationController,0,28,0,0,0,6,0,4,0,4
rooms-api,rooms.controller,CreateReservationRequest,0,31,0,0,0,9,0,9,0,9
rooms-api,rooms.controller,RoomController,0,18,0,0,0,5,0,3,0,3
rooms-api,rooms.controller,CreateRoomRequest,0,17,0,0,0,5,0,5,0,5
rooms-api,rooms.service,RoomService,4,19,0,0,1,5,1,2,1,2
rooms-api,rooms.service,ReservationService,1,116,2,12,0,22,2,12,0,7
rooms-api,rooms.repository,RoomRepository,14,26,0,0,2,7,2,4,2,4
rooms-api,rooms.repository,ReservationRepository,0,44,0,0,0,10,0,6,0,6
